absorbent	/əbsɔːbənt/\n\n[adjective]\n\n1. absorvente\n2. hidrófilo
absorbing	/əbsɔːbiŋ/\n\nfascinante
absorption	[s]\nabsorção
abstain	[vi]\nabster-se
abstemious	/əbstiːmiəs/\n\n1. comedido\n2. parco\n3. sério\n4. sóbrio
abstention	/əbstenʃən/\n\n[s]\nabstinência
abstinence	/əbstinəns/\n\n[s]\nabstinência
abstract	/əbstrækt/\n\n[s]\n[adjective]\n[vt]\n\n1. abstrato\n2. a. resumo\n  b. sumário\n3. concentrado\n4. a. abstrair\n  b. fazer abstração de\n5. resumir
abstraction	/əbstrækʃən/\n\n[s]\n\n1. abstração\n2. extração\n3. furto
absurd	/əbsəːd/\n\n[adjective]\nabsurdo
absurdity	/əbsəːditiː/\n\n[s]\n\n1. a. absurdo\n  b. coisa absurda\n2. a. absurdeza\n  b. absurdidade
absurdly	[adverb]\nabsurdamente
abundance	/əbʌndəns/\n\n[s]\n\n1. abundância\n2. fartura\n3. riqueza
abundant	/əbʌndənt/\n\n[adjective]\n\n1. abundante\n2. basto\n3. copioso\n4. farto\n5. lauto
abundantly	[adverb]\nabundantemente
abuse	/əbjuːz/\n\n[s]\n[vt]\n\n1. abuso\n2. a. injúria\n  b. insulto\n3. a. defeito\n  b. desvantagem\n  c. inconveniente\n4. abusar\n5. a. injuriar\n  b. insultar\n  c. ofender\n  d. ultrajar\n6. a. atormentar\n  b. supliciar\n  c. torturar
abusive	[adjective]\nabusivo
abusively	[adverb]\n\n1. abusivamente\n2. de forma abusiva
abutment	/əbʌtmənt/\n\ncontraforte
abysm	[s]\nabismo
abysmal	/əbizml/\n\n1. desesperado\n2. a. horrível\n  b. terrível
abyss	/əbis/\n\n[s]\n\n1. abismo\n2. boqueirão\n3. fundão\n4. pélago\n5. precipício\n6. sorvedouro
Abyssinia	/əbisiniə/\n\n[s]\n\n1. Abissínia\n2. Etiópia
Abyssinian	/əbisiniən/\n\nabexim
acacia	/əkeiʃə/\n\nacácia
academic	/ækədemik/\n\n[s]\n[adjective]\n\n1. acadêmico\n2. estudante
academician	/əkædəmiʃən/\n\n[s]\nacadêmico
academy	/əkædəmiː/\n\n[s]\nacademia
acalculous	[adjective]\n\n1. acalculoso\n2. sem cálculos
acanthosis	[s]\nacantose
acanthus	/eikænθəs/\n\n[s]\n\n1. acanto\n2. erva-gigante
accede	/əksiːd/\n\n1. tornar-se membro de um grupo\n2. a. anuir\n  b. concordar\n  c. estar de acordo
accelerate	/əkseləreit/\n\n1. acelerar\n2. adiantar\n3. apressar\n4. atirar\n5. aumentar a velocidade de
accelerated	acelerado
acceleration	/əkseləreiʃən/\n\n[s]\naceleração
accelerator	/əkseləreitər/\n\n[s]\nacelerador
accelerator pedal	/əkseləreitərpedəl/\n\n[s]\npedal do acelerador
accent	/æksənt/\n\n[s]\n[vt]\n\n1. a. acento\n  b. ênfase\n2. sotaque\n3. a. enfatizar\n  b. acentuar
accent mark	/æksəntmɑːk/\n\n[s]\nacento
accentuate	/əksentʃueit/\n\n[vt]\n\n1. acentuar\n2. enfatizar
accentuated	acentuado
accentuation	[s]\nacentuação
accept	/æksept/\n\n1. aceitar\n2. acolher\n3. admitir\n4. receber\n5. topar
acceptable	[adjective]\naceitável
acceptance	/əkseptəns/\n\n[s]\n\n1. aceitação\n2. acolhida\n3. acolhimento\n4. admissão
acceptation	[s]\naceitação
accepted	1. aceito\n2. aceitado
access	/ækses/\n\n[s]\n[vt]\n\n1. acesso\n2. a. crise\n  b. agressão\n  c. ataque\n3. a. arranco\n  b. impulso\n4. acessar
accessibility	[s]\nacessibilidade
accessible	/əksesəbl/\n\n[adjective]\n\n1. a. acessível\n  b. alcançável\n  c. atingível\n2. a. impressionável\n  b. sensível
accession	/əkseʃən/\n\n[s]\n\n1. aquisição\n2. presa
accessory	/əksesəriː/\n\n[adjective]\n\n1. a. acessório\n  b. anexo\n2. secundário
accidence	/æksidəns/\n\n[s]\n\n1. acaso\n2. azar\n3. casualidade
accident	/æksidənt/\n\n[s]\n\n1. acidente\n2. sinistro
accidental	/æksidentl/\n\n[adjective]\n\n1. acidental\n2. fortuito
accidentally	[adverb]\nacidentalmente
accidently	[adverb]\n\n1. acidentalmente\n2. de forma acidental
acclaim	/əkleim/\n\n[s]\n[vt]\n\n1. a. aplauso\n  b. aclamação\n  c. ovação\n2. a. aclamar\n  b. ovacionar\n  c. aplaudir\n  d. bater palmas\n3. a. aprovar\n  b. louvar
acclamation	/ækləmeiʃən/\n\n[s]\n\n1. aclamação\n2. ovação\n3. aplauso
acclimatize	/əklaimətaiz/\n\n[vt]\n\n1. aclimar\n2. aclimatar
acclivity	/əklivitiː/\n\n[s]\n\n1. declive\n2. encosta\n3. ladeira\n4. rampa\n5. vertente
accommodate	[vt]\nacomodar
accommodating	/əkɔmədeitiŋ/\n\nserviçal
accommodation	/əkɔmədeiʃən/\n\n[s]\n\n1. acomodação\n2. a. arranjo\n  b. disposição\n3. compromisso\n4. a. aposento\n  b. habitação\n  c. morada
accomodate	/əkɔmədeit/\n\n1. a. acomodar\n  b. adaptar\n  c. ajustar\n  d. arranjar\n2. a. acabar\n  b. encerrar\n  c. finalizar\n  d. terminar\n3. hospedar\n4. a. ajudar\n  b. auxiliar\n  c. socorrer
accomodate oneself	/əkɔmədeitwʌnself/\n\nadaptar-se
accompaniment	/əkʌmpənimənt/\n\n[s]\nacompanhamento
accompanist	/əkʌmpənist/\n\n[s]\n\n1. acompanhante\n2. acólito\n3. companheiro
accompany	/əkʌmpəniː/\n\n[vt]\n\n1. acompanhar\n2. seguir
accompanying	/əkʌmpəniiŋ/\n\nanexado
accomplish	/əkʌmpliʃ/\n\n1. a. abranger\n  b. alcançar\n  c. atingir\n  d. chegar a\n  e. obter\n  f. tocar\n2. a. efectivar\n  b. efectuar\n  c. realizar\n3. a. cumprir\n  b. desempenhar
accomplished	/əkʌmpliʃt/\n\n1. a. autorizado\n  b. competente\n  c. habilitado\n2. a. experiente\n  b. perito\n  c. versado\n3. talentoso
accomplishment	/əkʌmpliʃmənt/\n\n[s]\n\n1. conquista\n2. façanha\n3. feito\n4. obra
accord	/əkɔːd/\n\n[s]\n[vt]\n\n1. a. acordo\n  b. ajuste\n  c. concordância\n  d. conformidade\n  e. convenção\n2. a. acordar\n  b. estar de acordo\n3. estar em harmonia\n4. a. aquiescer\n  b. consentir\n  c. permitir
accordance	/əkɔːdəns/\n\n[s]\n\n1. acordo\n2. ajuste\n3. concordância\n4. conformidade\n5. convenção
according as	/əkɔːdiŋəz/\n\n1. ao longo de\n2. conforme\n3. de acordo com\n4. relativamente a
according to	/əkɔːdiŋtou/\n\n1. ao longo de\n2. conforme\n3. de acordo com\n4. relativamente a
accordingly	/əkɔːdiŋliː/\n\n[adverb]\n\n1. de acordo com\n2. a. logo\n  b. por conseguinte\n  c. sendo assim
accordion	/əkɔːdiən/\n\n[s]\n\n1. acordeão\n2. harmônica\n3. gaita\n4. sanfona
account	/əkaunt/\n\n[s]\n[vt]\n\n1. conta\n2. a. fatura\n  b. nota\n3. a. informação\n  b. explicação\n  c. comunicação\n4. cálculo\n5. a. causa\n  b. motivo\n  c. razão\n6. a. considerar\n  b. refletir\n7. a. acreditar\n  b. crer\n8. a. julgar\n  b. opinar\n  c. ser de opinião
account book	/əkauntbuk/\n\n[s]\nlivro-caixa
account for	/əkauntfər/\n\n[vt]\n\n1. explicar\n2. a. compor\n  b. constituir\n  c. estabelecer
accounting	/əkauntiŋ/\n\n[s]\nescrituração
accoutrement	/əkuːtəmənt/\n\n[s]\nequipamento
accredit	/əkredit/\n\n[vt]\n\n1. acreditar\n2. a. atribuir\n  b. conferir\n  c. imputar\n  d. julgar\n3. crer
accrue	/əkruː/\n\n1. a. derivar\n  b. provir\n  c. virde\n2. a. aumentar\n  b. avultar\n  c. crescer\n3. a. altear\n  b. elevar-se\n  c. subir
accumulate	/əkjuːmjuleit/\n\n1. a. acumular\n  b. juntar em excesso\n2. a. amontoar\n  b. empilhar\n  c. juntar\n3. a. acumular-se\n  b. amontoar-se
accumulation	/əkjuːmjuleiʃən/\n\n[s]\n\n1. a. acumulação\n  b. amontoamento\n2. a. acervo\n  b. acúmulo\n  c. chusma\n  d. cúmulo\n  e. montão\n  f. multidão\n  g. pilha\n  h. ruma
accumulative	[adjective]\nacumulativo
accumulatively	[adverb]\n\n1. acumulativamente\n2. de forma acumulativa
accumulator	/əkjuːmjuleitər/\n\n[s]\nacumulador
accuracy	/ækjərəsiː/\n\n[s]\n\n1. acurácia\n2. a. exatidão\n  b. precisão
accurate	/ækjərət/\n\n[adjective]\n\n1. a. exato\n  b. pontual\n2. a. certo\n  b. exacto\n  c. preciso
accurately	[adverb]\n\n1. exatamente\n2. de forma acurada
accusal	/ækjuːzl/\n\n[s]\n\n1. acusação\n2. arguição
accusation	/ækjuːzeiʃən/\n\n[s]\n\n1. a. acusação\n  b. arguição\n2. denúncia
accusative	/əkjuːzətiv/\n\n[adjective]\nacusativo
accusatory	[adjective]\nacusatório
accuse	/əkjuːz/\n\n[vt]\n\n1. a. acusar\n  b. arguir\n  c. criminar\n  d. inculpar\n2. a. delatar\n  b. denunciar\n3. culpar
accused	/əkjuːzd/\n\nacusado
accuser	/əkjuːzər/\n\n[s]\nacusador
accustom	/əkʌstəm/\n\n1. costumar\n2. estar habitado a\n3. ter o costume de
accustomed	/əkʌstəmd/\n\nusual
ace	/eis/\n\n[s]\nás
acellular	[adjective]\nacelular
acerbic	/əsəːbik/\n\n1. acerbo\n2. adstringente\n3. a. acre\n  b. afiado\n  c. agudo\n  d. cortante\n  e. penetrante\n  f. picante\n  g. ríspido\n4. a. amargo\n  b. amargoso\n  c. amaro
acerbity	/əsəːbitiː/\n\n[s]\n\n1. a. acrimônia\n  b. acuidade\n  c. agrura\n  d. agudeza\n2. a. amargor\n  b. amargura
acetabular	[adjective]\nacetabular
acetabulum	[s]\nacetábulo
acetate	/æsiteit/\n\n[s]\nacetato
acetic acid	/əsiːtikæsid/\n\n[s]\n\n1. ácido acético\n2. vinagre
acetone	/æsitən/\n\n[s]\nacetona
acetous	/æsitəs/\n\n[adjective]\n\n1. acerbo\n2. ácido\n3. azedo
acetylate	[vt]\nacetilar
acetylation	[s]\nacetilação
acetylcholine	[s]\nacetilcolina
acetylcholinesterase	[s]\nacetilcolinesterase
acetylene	/əsetiliːn/\n\n[s]\n\n1. acetilene\n2. acetilênio\n3. acetileno
acetylic	[adjective]\nacetílico
Achaea	/ətʃiə/\n\nAcaia
Achaia	/ətʃiə/\n\nAcaia
ache	/eik/\n\n[s]\n[vt]\n\n1. a. aflição\n  b. dor\n2. a. almejar\n  b. anelar\n  c. aspirar\n3. a. causar dor\n  b. doer\n4. a. suspirar\n  b. ter saudades de
Acheron	/ətʃerən/\n\nAqueronte
achievable	[adverb]\n\n1. alcançável\n2. conquistável\n3. que se pode alcançar\n4. que se pode conquistar
achieve	/ətʃiːv/\n\n[vt]\n\n1. a. adquirir\n  b. arranjar\n  c. obter\n2. a. abranger\n  b. alcançar\n  c. atingir\n  d. chegar a\n  e. tocar\n3. a. efectivar\n  b. efectuar\n  c. realizar\n4. a. fazer\n  b. formar\n  c. executar\n5. a. cumprir\n  b. desempenhar
achievement	/ətʃiːvmənt/\n\n[s]\n\n1. conquista\n2. façanha\n3. feito\n4. obra
Achilles	/ətʃilz/\n\n[s]\nAquiles
achlorhydria	[s]\nacloridria
achrostic	/əkroustik/\n\n[adjective]\nacróstico
acid	/æsid/\n\n[adjective]\n\n1. a. acerbo\n  b. ácido\n  c. azedo\n2. adstringente\n3. sarcástico
acidification	[s]\nacidificação
acidifier	[s]\nacidificador
acidify	/əsidifai/\n\n1. azedar\n2. azedar-se
acidity	/əsiditiː/\n\n[s]\n\n1. acidez\n2. acididade\n3. azedume
acidness	/əsidnəs/\n\n[s]\n\n1. a. acidez\n  b. acididade\n  c. azedume\n2. sarcasmo
acidosis	[s]\nacidose
acidotic	[adjective]\nacidótico
acknowledge	/əknɔlidʒ/\n\n1. a. admitir a veracidade de\n  b. reconhecer\n2. a. confessar\n  b. professar\n3. a. confirmar\n  b. homologar\n  c. ratificar
acknowledgement	/əknɔlidʒmənt/\n\n[s]\n\n1. confissão\n2. recibo
acme	/ækmiː/\n\n[s]\n\n1. apogeu\n2. ápice\n3. climax
acne	/ækniː/\n\n[s]\n\n1. a. acne\n  b. espinha\n2. dartro
acolyte	/ækəlait/\n\n1. a. adepto\n  b. partidário\n2. a. acólito\n  b. sacristão\n3. a. cidadão\n  b. membro\n  c. sócio
aconite	/ækənait/\n\nacônito
acoustic	/əkuːstik/\n\n[adjective]\nacústico
acoustical	[adjective]\nacústico
acoustically	[adverb]\n\n1. acusticamente\n2. de forma acústica
acoustics	/əkuːstiks/\n\n[s]\nacústica
acquaint	/əkweint/\n\n1. a. informar\n  b. noticiar\n  c. participar\n2. notificar
acquaintance	/əkweintəns/\n\n1. pessoa conhecida\n2. convivência
acquaintanceship	[s]\nconvivência
acquiescent	[adjective]\n\n1. aquiescente\n2. condescendente
acquire	/əkwaiər/\n\n1. a. adquirir\n  b. arranjar\n  c. obter\n2. comprar
acquired	adquirido
acquirement	/əkwaiəmənt/\n\n[s]\n\n1. aquisição\n2. conquista
acquisition	/ækwiziʃən/\n\n[s]\n\n1. a. aquisição\n  b. conquista\n  c. presa\n2. compra
acquisitive	/əkwizətiv/\n\n[adjective]\n\n1. ávido\n2. cobiçoso\n3. sedento\n4. sequioso
acquit	/əkwit/\n\n[vt]\nabsolver
acre	/eikər/\n\n[s]\n\n1. acre\n2. jeira
acrid	/ækrid/\n\nacerbo
acrimony	/ækriməniː/\n\n[s]\n\n1. acrimônia\n2. acuidade\n3. agrura\n4. agudeza
acrobat	/ækrəbæt/\n\n[s]\nacrobata
acrobatic	[adjective]\nacrobático
acromegalic	[adjective]\nacromegálico
acromegaly	[s]\nacromegalia
acromial	[adjective]\nacromial
acromion	[s]\nacrômio
acronym	/ækrənim/\n\n[s]\n\n1. sigla\n2. acrografia
across	/əkrɔs/\n\n1. transversalmente\n2. a. além de\n  b. através de\n  c. do outro lado de\n  d. para lá de
across from	/əkrɔsfrɔm/\n\n1. contra\n2. de fronte de\n3. em frente de\n4. em troca de
act	/ækt/\n\n[s]\n[vt]\n\n1. a. ato\n  b. ação\n2. a. façanha\n  b. feito\n  c. obra\n3. a. auto\n  b. escritura\n  c. instrumento\n4. a. agir\n  b. obrar\n  c. proceder\n5. funcionar como ator\n6. a. atuar\n  b. produzir efeito\n  c. ser eficaz\n7. a. fazer\n  b. formar\n  c. executar\n8. influenciar
act as a middleman	/æktəzəmidlmən/\n\ncorretar
act as agent	/æktəzeidʒənt/\n\nmediar
act as patron	/æktəzpætrən/\n\n1. patrocinar\n2. proteger
act for	/æktfər/\n\nrepresentar
act of grace	/æktɔfgreis/\n\n1. anistia\n2. indultogeral
act out	/æktaut/\n\n1. efetivar\n2. efetuar\n3. realizar
acting	/æktiŋ/\n\nrepresentação
actinium	/æktiniəm/\n\n1. actínia\n2. actínio
actinomycosis	[s]\nactinomicose
action	/ækʃən/\n\n[s]\n\n1. a. ação\n  b. atividade\n2. a. batalha\n  b. combate\n  c. luta\n  d. peleja\n  e. pugna\n3. a. façanha\n  b. feito\n  c. obra\n4. influência\n5. a. pleito\n  b. processo
activate	/æktiveit/\n\n[vt]\n\n1. ativar\n2. a. causar\n  b. produzir\n  c. ser causa de
activated	[adjective]\nativado
activation	[s]\nativação
activator	[s]\nativador
active	/æktiv/\n\n[adjective]\n\n1. a. ativo\n  b. agencioso\n  c. diligente\n2. a. laborioso\n  b. operoso\n  c. trabalhador
actively	[adverb]\nativamente
activist	[s]\n\n1. ativista\n2. militante
activity	/æktivitiː/\n\n[s]\n\n1. ação\n2. atividade
actor	/æktər/\n\n[s]\n\n1. ator\n2. artista\n3. comediante
actress	/æktris/\n\n[s]\natriz
actual	/æktʃeəl/\n\n[adjective]\n\n1. a. efetivo\n  b. real\n  c. verdadeiro\n2. a. atual\n  b. hodierno
actually	/ætʃəliː/\n\n[adverb]\n\n1. realmente\n2. verdadeiramente\n3. na verdade\n4. de fato
actuary	/æktʃeəriː/\n\n[s]\nactuário
actuate	/æktʃueit/\n\n1. mexer\n2. mover
acuity	/əkjuːitiː/\n\n[s]\n\n1. a. acrimônia\n  b. acuidade\n  c. agrura\n  d. agudeza\n2. atenção
acupuncture	/ækjupʌŋktʃər/\n\n[s]\nacupuntura
acupuncturist	[s]\nacupunturista
acute	/əkjuːt/\n\n[adjective]\n\n1. a. agudo\n  b. pontiagudo\n2. a. forte\n  b. intensivo\n  c. intenso\n3. a. sagaz\n  b. astuto
acutely	[adverb]\nagudamente
ad	/əd/\n\n[s]\n\n1. anúncio\n2. a. reclamo\n  b. publicidade
adage	/ædidʒ/\n\n[s]\nprovérbio
adagio	/ədɑːdʒiəə/\n\n[s]\nadágio
Adam	/ædəm/\n\n[s]\nAdão
adamant	/ædəmənt/\n\nresistente
adapt	/ədæpt/\n\n1. a. adaptar\n  b. acomodar\n  c. ajeitar\n  d. ajustar\n2. adaptar-se
adapt oneself	/ədæptwʌnself/\n\nadaptar-se
adaptability	[s]\nadaptabilidade
adaptable	/ədæptəbl/\n\n[adjective]\n\n1. adaptável\n2. ajustável
adaptation	/ædæpteiʃən/\n\n[s]\n\n1. adaptação\n2. ajuste
adapted	adaptado
adapter	[s]\nadaptador
add	/ədd/\n\n1. adicionar\n2. somar\n3. acrescentar\n4. ajuntar
add up	/əddʌp/\n\n1. a. adicionar\n  b. somar\n2. totalizar
added	1. adicionado\n2. somado
addendum	[s]\n\n1. adendo\n2. anexo
adder	/ædər/\n\n[s]\n\n1. cobra\n2. víbora
addiction	[s]\n\n1. vício\n2. devoção\n3. inclinação
addition	/ədiʃən/\n\n[s]\n\n1. a. adição\n  b. soma\n2. a. acréscimo\n  b. emenda\n  c. suplemento
additional	/ədiʃənl/\n\n[adjective]\n\n1. adicional\n2. aditivo\n3. suplementar\n4. extra
additionally	[adverb]\nadicionalmente
additive	[s]\n[adjective]\naditivo
addled	/ædld/\n\n[adjective]\n\n1. a. podre\n  b. pútrido\n2. a. estúpido\n  b. imbecil\n  c. tolo
address	/ədres/\n\n[s]\n[vt]\n\n1. endereço\n2. endereçar
address list	/ədreslist/\n\n[s]\nlista de endereços
addressbook	[s]\nlivro de endereços
addressee	/ædresiː/\n\n[s]\ndestinatário
adduct	[vt]\naduzir
adduction	[s]\nadução
adductor	[adjective]\nadutor
Aden	/ədn/\n\nÁden
adenocarcinoma	[s]\nadenocarcinoma
adenoid	[s]\nadenóide
adenoma	[s]\nadenoma
adenomyosis	[s]\nadenomiose
adenopathy	[s]\nadenopatia
adenosine	[s]\nadenosina
adenovirus	[s]\nadenovírus
adept	/ædept/\n\n1. a. adepto\n  b. partidário\n2. mestre\n3. a. experiente\n  b. perito\n  c. versado
adequacy	[s]\n\n1. adequação\n2. suficiência
adequate	/ædikwət/\n\n1. adequado\n2. apropriado
adequately	[adverb]\nadequadamente
adequateness	[s]\n\n1. adequação\n2. suficiência
adhere	/ədhiər/\n\n1. amoldar-se\n2. adaptar-se\n3. conformar-se
adherence	[s]\naderência
